Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),capture_rate
Brooklyn North,BKN01,9,2005,March,67.52908329,43.30269667,42.00716273,569.048853
Brooklyn North,BKN01,10,2005,April,68.89274265,36.51210564,41.53274396,609.3073473
Brooklyn North,BKN01,11,2005,May,71.52948117,39.70934351,42.720412,685.2369673
Brooklyn North,BKN01,7,2005,January,72.66021482,39.23169318,38.10486108,737.8373167
Brooklyn North,BKN01,12,2005,June,66.12088342,38.85294057,43.70722528,532.5102355
Brooklyn North,BKN01,9,2006,March,67.28150881,39.46169709,41.04800906,568.1432081
Brooklyn North,BKN01,1,2006,July,72.2336211,40.06669235,43.53639162,686.2131808
Brooklyn North,BKN01,12,2006,June,71.37097351,39.96305822,43.18778875,679.0839473
Brooklyn North,BKN01,10,2006,April,69.78017452,38.71876074,39.14595306,634.4965868
Brooklyn North,BKN01,8,2006,February,69.82981218,39.3450618,39.84204768,640.7700096
Brooklyn North,BKN01,2,2006,August,69.7505074,41.7810666,42.92820399,606.7202606
Brooklyn North,BKN01,7,2006,January,72.38349026,41.63501304,43.87085446,714.0659245
Brooklyn North,BKN01,11,2006,May,66.97260515,39.51590753,40.71149807,554.9512546
Brooklyn North,BKN01,3,2006,September,72.06611384,48.02996392,42.91703473,741.973477
Brooklyn North,BKN01,4,2006,October,71.29388498,48.38230226,40.64061588,716.3647175
Brooklyn North,BKN01,6,2006,December,73.41114747,44.56940431,41.17823716,754.340363
Brooklyn North,BKN01,5,2006,November,66.82373488,49.1290139,40.16204277,580.5939139
Brooklyn North,BKN01,12,2007,June,71.81515979,37.79394894,41.38536526,699.2261388
Brooklyn North,BKN01,7,2007,January,68.49714108,43.76974066,42.75465719,591.9628803
Brooklyn North,BKN01,10,2007,April,71.4855855,40.47909752,39.18115027,686.224728
Brooklyn North,BKN01,2,2007,August,69.92501298,41.5798631,41.39500739,613.6478247
Brooklyn North,BKN01,9,2007,March,69.89820183,38.85637456,36.16414168,647.0234771
Brooklyn North,BKN01,8,2007,February,70.01848384,39.86570259,43.67578669,642.1587429
Brooklyn North,BKN01,1,2007,July,72.42698423,40.21920132,41.81712534,694.7173313
Brooklyn North,BKN01,3,2007,September,71.73321207,48.841691,39.49816288,732.6606752
Brooklyn North,BKN01,11,2007,May,67.28149746,37.37384067,41.36498691,564.8417444
Brooklyn North,BKN01,4,2007,October,72.29544411,47.94283025,39.1049061,755.1349694
Brooklyn North,BKN01,6,2007,December,73.23122879,44.44786345,38.46672726,750.6691933
Brooklyn North,BKN01,5,2007,November,66.57106027,48.37870268,36.98393342,577.715145
Brooklyn North,BKN01,7,2008,January,68.70977337,44.95505864,44.04286977,593.7018257
Brooklyn North,BKN01,8,2008,February,69.90525093,44.44408021,41.27467431,634.7150471
Brooklyn North,BKN01,10,2008,April,65.3866409,39.33126303,38.08716015,519.2068296
Brooklyn North,BKN01,12,2008,June,72.09791055,40.38473409,45.50253625,700.7946361
